train_loss,valid_loss
0.519871,0.238050
0.387810,0.205272
0.420967,0.194067
0.185012,0.210109
0.407601,0.244556
0.495254,0.213217
0.341298,0.195511
0.483672,0.211856
0.543689,0.192943
0.381956,0.172627
0.509003,0.142458
0.126373,0.192625
0.476657,0.218981
0.512916,0.235196
0.547000,0.257430
0.473517,0.242923
0.200837,0.173597
0.244953,0.209055
0.367547,0.175718
0.424556,0.198210
0.338279,0.197307
0.438115,0.211631
0.162899,0.191650
0.348892,0.227266
0.294909,0.183949
0.525297,0.241557
0.333570,0.201380
0.294939,0.188229
0.311865,0.174023
0.347661,0.225533
0.394461,0.225142
0.371410,0.173527
0.231720,0.207665
0.357454,0.192245
0.341780,0.207728
0.167639,0.189418
0.350790,0.229363
0.421182,0.193218
0.557063,0.193617
0.287423,0.187891
0.297965,0.193834
0.515337,0.230679
0.210519,0.235532
0.462502,0.182364
0.523126,0.231720
0.167880,0.208497
0.351779,0.216955
0.240580,0.237793
0.521617,0.202646
0.297286,0.194537
0.303898,0.186748
0.393859,0.187741
0.536915,0.211607
0.284479,0.214458
0.523650,0.183751
0.244381,0.229727
0.337337,0.209024
0.581393,0.236600
0.271602,0.234704
0.583664,0.221995
0.495190,0.231164
0.270854,0.228100
0.515038,0.218065
0.302874,0.252125
0.549548,0.196011
0.312885,0.216269
0.442308,0.251456
0.320525,0.229802
0.310841,0.212579
0.170334,0.201702
0.420929,0.179757
0.554030,0.248227
0.440854,0.190651
0.276150,0.203910
0.432218,0.212399
0.174132,0.185493
0.415327,0.191489
0.580463,0.219365
0.534018,0.214513
0.230651,0.212180
0.288778,0.218344
0.502621,0.179716
0.320716,0.225244
0.214779,0.203787
0.511775,0.212281
0.219165,0.202136
0.304290,0.204358
0.400470,0.192018
0.216626,0.184448
0.512431,0.221070
0.237233,0.206540
0.282426,0.182025
0.254561,0.194304
0.252876,0.204191
0.499103,0.197416
0.461173,0.208557
0.310593,0.212846
0.570738,0.172587
0.343709,0.188933
0.351676,0.196377
0.305700,0.198418
0.414105,0.162157
0.381072,0.183276
0.541608,0.215381
0.345068,0.226835
0.180218,0.233967
0.471918,0.201937
0.331753,0.265538
0.294862,0.194606
0.382093,0.223336
0.325305,0.224991
0.211666,0.220413
0.193797,0.191551
0.321139,0.221878
0.532208,0.174399
0.250156,0.184594
0.465586,0.184922
0.189768,0.188039
0.220834,0.206711
0.244433,0.185636
0.535379,0.202812
0.264646,0.244921
0.479329,0.235814
0.372778,0.215099
0.206733,0.191661
0.471771,0.216977
0.461792,0.237853
0.470951,0.233396
0.272539,0.191366
0.515473,0.195175
0.382261,0.226431
0.314610,0.224775
0.496160,0.227086
0.359311,0.182259
0.143438,0.179564
0.414301,0.167785
0.396524,0.247815
0.500265,0.233426
0.440925,0.233351
0.238434,0.208507
0.513628,0.204076
0.286125,0.233154
0.471116,0.244632
0.486600,0.195145
0.506673,0.228912
0.527839,0.266662
0.361732,0.209919
0.589436,0.221208
0.350517,0.187099
0.283190,0.196203
0.383083,0.220333
0.394108,0.205950
0.474639,0.216232
0.233615,0.200949
0.480712,0.251951
0.418223,0.202340
0.415732,0.184903
0.261464,0.218784
0.290494,0.219884
0.311321,0.218938
0.303822,0.219875
0.400915,0.213244
0.244590,0.207087
0.638755,0.192683
0.342415,0.192357
0.544334,0.225174
0.520774,0.243855
0.552555,0.253215
0.522757,0.265184
0.415381,0.226146
0.256167,0.187371
0.337310,0.203458
0.362331,0.216332
0.550083,0.225922
0.316360,0.222594
0.517627,0.167632
0.319425,0.197118
0.057975,0.226054
